BoosterMotorEncosTest/MotorCmdKd#0,BoosterMotorEncosTest/MotorCmdKp#0,BoosterMotorEncosTest/MotorCmdPos#0,BoosterMotorEncosTest/MotorCmdTor#0,BoosterMotorEncosTest/MotorCmdVel#0,BoosterMotorEncosTest/MotorFbPos#0,BoosterMotorEncosTest/MotorFbTemp#0,BoosterMotorEncosTest/MotorFbTor#0,BoosterMotorEncosTest/MotorFbVel#0,BoosterMotorEncosTest/TotalLostFrameCnt,BoosterMotorEncosTest/TotalRecvFrameCnt,BoosterMotorEncosTest/TotalSendFrameCnt,BoosterMotorEncosTest/t
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.1611721665,-0.0219780225,0,536,536,34
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.1904761940,0.0043956046,0,537,537,35
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.1025641039,-0.0043956046,0,538,538,36
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.0732600763,-0.0043956046,0,539,539,37
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.0732600763,-0.0131868133,0,540,540,38
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.1025641039,0.0043956046,0,541,541,39
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.1025641039,0.0043956046,0,542,542,40
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.1025641039,0.0131868133,0,543,543,41
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.1611721665,-0.0131868133,0,544,544,42
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.1025641039,0.0043956046,0,545,545,43
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.1904761940,-0.0043956046,0,546,546,44
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.0732600763,0.0131868133,0,547,547,45
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.1025641039,-0.0131868133,0,548,548,46
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.1611721665,-0.0131868133,0,549,549,47
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.0732600763,-0.0131868133,0,550,550,48
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.0146520147,0.0043956046,0,551,551,49
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.2197802216,-0.0131868133,0,552,552,50
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.1904761940,-0.0043956046,0,553,553,51
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.1025641039,-0.0131868133,0,554,554,52
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.1025641039,0.0043956046,0,555,555,53
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.1025641039,0.0043956046,0,556,556,54
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.1025641039,0.0131868133,0,557,557,55
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.0732600763,0.0043956046,0,558,558,56
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.0732600763,-0.0131868133,0,559,559,57
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.1904761940,-0.0043956046,0,560,560,58
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.1025641039,-0.0131868133,0,561,561,59
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.1025641039,-0.0131868133,0,562,562,60
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.1025641039,-0.0043956046,0,563,563,61
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.2197802216,0.0131868133,0,564,564,62
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.1025641039,0.0131868133,0,565,565,63
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.0732600763,-0.0043956046,0,566,566,64
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.1318681389,0.0043956046,0,567,567,65
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.2490842491,-0.0043956046,0,568,568,66
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.0732600763,-0.0131868133,0,569,569,67
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.0732600763,-0.0043956046,0,570,570,68
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.0146520147,-0.0131868133,0,571,571,69
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.3076923192,-0.0043956046,0,572,572,70
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.1904761940,0.0307692308,0,573,573,71
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.0732600763,-0.0131868133,0,574,574,72
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.1025641039,-0.0043956046,0,575,575,73
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.1611721665,0.0131868133,0,576,576,74
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.1611721665,-0.0043956046,0,577,577,75
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.0146520147,-0.0043956046,0,578,578,76
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.1025641039,-0.0043956046,0,579,579,77
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.1611721665,-0.0043956046,0,580,580,78
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.1025641039,-0.0131868133,0,581,581,79
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.4542124569,-0.0219780225,0,582,582,80
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.1025641039,0.0043956046,0,583,583,81
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.2783882916,-0.0043956046,0,584,584,82
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.0732600763,-0.0131868133,0,585,585,83
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.0732600763,-0.0043956046,0,586,586,84
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.1611721665,-0.0131868133,0,587,587,85
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.1904761940,-0.0131868133,0,588,588,86
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.0732600763,-0.0131868133,0,589,589,87
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.1025641039,0.0043956046,0,590,590,88
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.0732600763,0.0043956046,0,591,591,89
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.0732600763,-0.0043956046,0,592,592,90
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.1025641039,-0.0131868133,0,593,593,91
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.3369963467,0.0043956046,0,594,594,92
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.1611721665,-0.0043956046,0,595,595,93
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.1904761940,-0.0043956046,0,596,596,94
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.0732600763,-0.0131868133,0,597,597,95
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.1318681389,-0.0131868133,0,598,598,96
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.1611721665,0.0043956046,0,599,599,97
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.1025641039,-0.0043956046,0,600,600,98
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.1025641039,-0.0043956046,0,601,601,99
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.0732600763,-0.0043956046,0,602,602,100
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.1904761940,-0.0043956046,0,603,603,101
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.0732600763,0.0043956046,0,604,604,102
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.1904761940,-0.0043956046,0,605,605,103
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.1611721665,-0.0043956046,0,606,606,104
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.0732600763,-0.0131868133,0,607,607,105
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.1025641039,-0.0131868133,0,608,608,106
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.1025641039,0.0043956046,0,609,609,107
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.1904761940,0.0131868133,0,610,610,108
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.0146520147,-0.0043956046,0,611,611,109
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.3369963467,-0.0043956046,0,612,612,110
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.4249084294,-0.0131868133,0,613,613,111
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.1904761940,-0.0043956046,0,614,614,112
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.0439560451,0.0043956046,0,615,615,113
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.1025641039,-0.0043956046,0,616,616,114
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.0732600763,0.0043956046,0,617,617,115
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.0732600763,0.0043956046,0,618,618,116
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.0732600763,-0.0043956046,0,619,619,117
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.1904761940,-0.0043956046,0,620,620,118
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.0146520147,0.0043956046,0,621,621,119
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.0439560451,-0.0219780225,0,622,622,120
