time,odrive0.axis0.motor.current_meas_phB,odrive0.axis0.motor.current_meas_phC
5.547,0.8459472060203552,-0.12084972858428955
5.573,0.8459472060203552,-0.04028332233428955
5.599,0.9265136122703552,0
5.626,0.9265136122703552,-0.08056640625
5.653,0.8459472060203552,0.120849609375
5.685,0.8459472060203552,-0.12084972858428955
5.706,0.8056640625,-0.08056640625
5.734,0.8862304091453552,-0.04028332233428955
5.759,0.8056640625,0
5.785,0.8459472060203552,-0.08056640625
5.812,0.8459472060203552,0
5.838,0.8459472060203552,0.040283203125
5.869,0.8056640625,0.08056640625
5.895,0.9265136122703552,0.040283203125
5.92,0.9265136122703552,0.040283203125
5.945,0.8862304091453552,0.08056640625
5.972,0.765380859375,0.040283203125
5.998,0.8862304091453552,-0.24169933795928955
6.025,0.8862304091453552,0
6.051,0.8056640625,-0.04028332233428955
6.083,0.9265136122703552,-0.04028332233428955
6.105,0.8862304091453552,0
6.131,0.8459472060203552,-0.08056640625
6.159,0.8862304091453552,-0.12084972858428955
6.185,0.8459472060203552,0
6.212,0.9265136122703552,-0.04028332233428955
6.239,0.8862304091453552,0
6.265,0.8459472060203552,-0.04028332233428955
6.292,1.007080078125,-0.12084972858428955
6.32,0.8862304091453552,0
6.345,0.8056640625,0.08056640625
6.372,0.9667968153953552,-0.04028332233428955
6.399,0.9265136122703552,-0.04028332233428955
6.426,0.9265136122703552,0
6.454,0.9265136122703552,-0.08056640625
6.484,0.8862304091453552,-0.08056640625
6.508,0.9265136122703552,-0.12084972858428955
6.535,0.8862304091453552,-0.08056640625
6.562,0.8459472060203552,0
6.589,0.8862304091453552,-0.08056640625
6.62,0.8862304091453552,-0.20141613483428955
6.645,0.8459472060203552,0.040283203125
6.671,0.8862304091453552,-0.12084972858428955
6.698,1.007080078125,-0.08056640625
6.725,0.9667968153953552,-0.12084972858428955
6.753,0.8862304091453552,-0.08056640625
6.779,1.007080078125,-0.04028332233428955
6.807,0.8056640625,-0.08056640625
6.833,0.845947265625,-0.08056640625
6.86,0.9667968153953552,0
6.893,0.8459472060203552,-0.12084972858428955
