time,odrive0.axis0.encoder.vel_estimate
206.787,30.01708984375
206.818,29.959869384765625
206.85,29.911041259765625
206.881,29.8492431640625
206.913,29.7637939453125
206.948,29.72869873046875
206.977,29.779815673828125
207.01,29.796600341796875
207.047,29.802703857421875
207.074,29.859161376953125
207.11,29.87823486328125
207.145,29.94842529296875
207.172,29.988861083984375
207.203,30.031585693359375
207.236,30.0140380859375
207.268,30.0750732421875
207.3,30.12542724609375
207.333,30.133819580078125
207.364,30.21240234375
207.396,30.236053466796875
207.428,30.176544189453125
207.462,30.191802978515625
207.494,30.176544189453125
207.524,30.072784423828125
207.561,30.048370361328125
207.587,30.0201416015625
207.619,29.98809814453125
207.65,29.91485595703125
207.682,29.869842529296875
207.715,29.804229736328125
207.747,29.741668701171875
207.779,29.718017578125
207.812,29.724884033203125
207.845,29.7637939453125
207.876,29.791259765625
207.912,29.729461669921875
207.945,29.852294921875
207.973,29.892730712890625
208.01,29.936981201171875
208.037,29.949951171875
208.069,30.010223388671875
208.102,30.03082275390625
208.134,30.083465576171875
208.167,30.04608154296875
208.199,30.09033203125
208.232,30.156707763671875
208.263,30.252838134765625
208.295,30.25970458984375
208.327,30.2581787109375
208.361,30.1544189453125
208.39,30.048370361328125
208.421,30.005645751953125
208.453,29.998779296875
208.485,29.9591064453125
208.518,29.952239990234375
208.55,29.92095947265625
208.581,29.851531982421875
208.614,29.83245849609375
208.647,29.712677001953125
208.679,29.732513427734375
208.711,29.825592041015625
208.745,29.87213134765625
208.774,29.952239990234375
208.81,30.01251220703125
208.839,29.991912841796875
208.87,30.036163330078125
208.906,30.075836181640625
208.935,30.120086669921875
208.967,30.0994873046875
208.999,30.18646240234375
209.031,30.179595947265625
209.063,30.16815185546875
209.095,30.150604248046875
209.127,30.16357421875
209.163,30.1239013671875
209.196,30.2154541015625
209.225,30.130767822265625
209.261,30.120849609375
209.287,30.017852783203125
209.321,29.998779296875
209.35,29.949951171875
209.383,29.878997802734375
209.415,29.837799072265625
209.45,29.790496826171875
209.48,29.712677001953125
209.513,29.72412109375
209.546,29.71954345703125
209.577,29.744720458984375
209.611,29.75311279296875
209.645,29.801177978515625
209.675,29.845428466796875
209.711,29.941558837890625
209.739,29.938507080078125
209.771,29.990386962890625
209.803,30.022430419921875
209.835,30.047607421875
209.867,30.0689697265625
209.901,30.065155029296875
209.932,30.12847900390625
209.965,30.173492431640625
209.997,30.21697998046875
210.03,30.181121826171875
210.061,30.206298828125
210.096,30.182647705078125
210.123,30.10101318359375
210.154,30.028533935546875
210.186,29.965972900390625
210.218,29.946136474609375
210.249,29.91485595703125
210.281,29.8583984375
210.319,29.8614501953125
210.345,29.729461669921875
210.377,29.7760009765625
210.412,29.804229736328125
210.445,29.8492431640625
210.474,29.913330078125
210.512,29.9468994140625
210.538,29.982757568359375
210.57,30.03692626953125
210.602,30.107879638671875
210.634,30.100250244140625
210.666,30.112457275390625
210.698,30.18341064453125
210.73,30.158233642578125
210.762,30.139923095703125
210.797,30.113983154296875
210.826,30.071258544921875
210.861,30.063629150390625
210.889,30.0537109375
210.92,29.996490478515625
210.952,29.9774169921875
210.984,29.96063232421875
211.016,29.932403564453125
211.048,29.8858642578125
211.08,29.8004150390625
211.112,29.72412109375
211.147,29.734039306640625
211.177,29.790496826171875
211.211,29.782867431640625
211.246,29.82635498046875
211.274,29.8309326171875
211.311,29.89959716796875
211.339,29.936981201171875
211.372,29.95147705078125
211.404,29.970550537109375
211.436,30.00640869140625
211.469,30.01708984375
211.501,30.048370361328125
211.535,30.06134033203125
211.569,30.043792724609375
211.6,30.065155029296875
211.632,30.123138427734375
211.664,30.175018310546875
211.696,30.23223876953125
211.728,30.25970458984375
211.761,30.290985107421875
211.795,30.194091796875
211.824,30.068206787109375
211.861,30.022430419921875
211.886,29.988861083984375
211.918,29.9896240234375
211.951,29.978179931640625
211.983,29.993438720703125
212.015,29.87060546875
212.049,29.8004150390625
212.079,29.801177978515625
212.111,29.74853515625
212.145,29.7515869140625
212.175,29.7332763671875
212.213,29.865264892578125
212.244,29.918670654296875
212.272,29.969024658203125
212.304,30.007171630859375
212.335,30.0445556640625
212.368,30.081939697265625
212.401,30.091094970703125
212.434,30.157470703125
212.465,30.224609375
212.496,30.236053466796875
212.528,30.25054931640625
212.562,30.21697998046875
212.59,30.091094970703125
212.622,30.04608154296875
212.653,30.005645751953125
212.684,29.962921142578125
212.716,29.92095947265625
212.75,29.891204833984375
212.782,29.886627197265625
212.815,29.816436767578125
212.846,29.740142822265625
212.879,29.746246337890625
212.913,29.756927490234375
212.945,29.808807373046875
212.975,29.8828125
213.01,29.943084716796875
213.038,29.955291748046875
213.071,29.99114990234375
213.104,30.010986328125
213.136,30.025482177734375
213.168,30.023193359375
213.204,30.048370361328125
213.232,30.09033203125
213.264,30.17425537109375
213.296,30.197906494140625
213.328,30.295562744140625
213.363,30.245208740234375
213.396,30.169677734375
213.424,30.09185791015625
213.456,29.988861083984375
213.488,29.955291748046875
213.519,29.918670654296875
213.55,29.90570068359375
213.582,29.836273193359375
213.614,29.7882080078125
213.647,29.742431640625
213.679,29.723358154296875
213.71,29.80804443359375
213.745,29.7943115234375
213.774,29.895782470703125
213.81,29.984283447265625
213.839,29.964447021484375
213.871,29.99114990234375
213.902,30.034637451171875
213.935,30.060577392578125
213.967,30.068206787109375
214,30.084991455078125
214.032,30.09796142578125
214.064,30.187225341796875
214.096,30.20782470703125
214.128,30.21240234375
214.162,30.129241943359375
214.189,30.045318603515625
214.22,29.964447021484375
214.252,29.950714111328125
214.283,29.918670654296875
214.315,29.851531982421875
