time,odrive0.axis0.encoder.vel_estimate
2112.318,9.95635986328125
2112.345,10.738372802734375
2112.371,11.806488037109375
2112.439,13.370513916015625
2112.44,15.2587890625
2112.451,17.73834228515625
2112.476,20.10345458984375
2112.503,22.296905517578125
2112.529,24.700164794921875
2112.554,26.988983154296875
2112.58,28.9154052734375
2112.606,31.62384033203125
2112.634,33.68377685546875
2112.66,36.220550537109375
2112.687,38.75732421875
2112.712,41.217803955078125
2112.738,43.582916259765625
2112.765,45.223236083984375
2112.79,47.435760498046875
2112.816,49.93438720703125
2112.844,52.18505859375
2112.87,53.844451904296875
2112.896,56.03790283203125
2112.922,58.155059814453125
2112.948,59.47113037109375
2112.974,59.795379638671875
2113,60.15777587890625
2113.027,60.138702392578125
2113.053,59.77630615234375
2113.079,59.947967529296875
2113.106,60.024261474609375
2113.131,59.719085693359375
2113.156,59.814453125
2113.183,59.814453125
2113.208,59.92889404296875
2113.234,59.814453125
2113.261,60.11962890625
2113.286,60.272216796875
2113.313,59.871673583984375
2113.339,59.92889404296875
2113.365,60.15777587890625
2113.432,59.986114501953125
2113.433,59.85260009765625
2113.449,59.909820556640625
2113.475,59.947967529296875
2113.5,59.871673583984375
2113.526,60.0433349609375
2113.552,60.11962890625
2113.578,59.947967529296875
2113.605,60.291290283203125
2113.63,60.214996337890625
2113.658,60.214996337890625
2113.682,59.62371826171875
2113.708,59.833526611328125
2113.733,59.833526611328125
2113.759,59.85260009765625
2113.785,60.0433349609375
2113.811,60.176849365234375
2113.837,60.138702392578125
2113.865,59.8907470703125
2113.892,60.272216796875
2113.919,60.138702392578125
2113.945,59.7381591796875
2113.971,60.1959228515625
2113.997,59.967041015625
2114.024,60.100555419921875
2114.049,59.967041015625
2114.075,60.1959228515625
2114.104,60.15777587890625
2114.13,59.871673583984375
2114.207,59.947967529296875
2114.235,59.814453125
2114.257,60.176849365234375
2114.283,60.15777587890625
2114.308,59.967041015625
2114.333,60.23406982421875
2114.359,60.138702392578125
2114.419,59.77630615234375
2114.42,60.11962890625
2114.435,60.062408447265625
2114.462,60.024261474609375
2114.487,59.967041015625
2114.513,59.85260009765625
2114.553,60.15777587890625
2114.578,60.08148193359375
2114.603,60.329437255859375
2114.628,60.1959228515625
2114.657,59.85260009765625
2114.681,60.214996337890625
2114.711,60.23406982421875
2114.732,59.8907470703125
2114.757,59.986114501953125
2114.783,60.11962890625
2114.809,60.15777587890625
2114.834,59.947967529296875
2114.859,60.1959228515625
2114.884,60.214996337890625
2114.91,60.100555419921875
2114.934,60.138702392578125
2114.96,60.23406982421875
2114.986,60.08148193359375
2115.012,59.604644775390625
2115.039,60.08148193359375
2115.066,59.909820556640625
2115.091,59.986114501953125
2115.192,60.176849365234375
2115.193,60.11962890625
2115.198,60.11962890625
2115.263,59.77630615234375
2115.264,60.214996337890625
2115.323,59.92889404296875
2115.324,59.70001220703125
2115.345,60.00518798828125
2115.374,59.967041015625
2115.38,60.062408447265625
2115.382,60.138702392578125
2115.408,60.367584228515625
2115.433,60.176849365234375
2115.464,59.871673583984375
2115.484,60.272216796875
2115.511,60.024261474609375
2115.536,59.909820556640625
2115.561,60.15777587890625
2115.585,60.272216796875
2115.61,59.92889404296875
2115.636,59.967041015625
2115.663,60.024261474609375
2115.712,60.138702392578125
2115.714,59.814453125
2115.746,60.214996337890625
2115.765,60.15777587890625
2115.797,60.176849365234375
2115.816,59.8907470703125
2115.855,59.909820556640625
2115.866,59.8907470703125
2115.898,59.8907470703125
2115.919,60.062408447265625
2115.975,60.367584228515625
2115.976,60.214996337890625
2116.005,59.77630615234375
2116.017,60.253143310546875
2116.054,60.024261474609375
2116.066,59.947967529296875
