time,odrive0.axis0.encoder.gear_vel_estimate_rad,odrive0.axis0.encoder.vel_estimate
5.882,-2.4975125789642334,-6.33544921875
5.905,-2.032524585723877,-5.1513671875
5.927,-1.2655341625213623,-3.1982421875
5.949,-0.21092236042022705,-0.48828125
5.975,0.4410194754600525,1.15966796875
5.995,0.9203885197639465,2.3193359375
6.018,1.4524880647659302,3.67431640625
6.041,1.9366507530212402,4.931640625
6.064,2.329733371734619,5.9326171875
6.087,2.6221485137939453,6.70166015625
6.111,2.823483467102051,7.18994140625
6.133,2.823483467102051,7.16552734375
6.156,2.607767343521118,6.689453125
6.178,2.166747808456421,5.52978515625
6.202,1.428519606590271,3.62548828125
6.225,0.4554005563259125,1.13525390625
6.248,-0.33076462149620056,-0.8544921875
6.275,-0.848483145236969,-2.18505859375
6.293,-1.3518205881118774,-3.43017578125
6.316,-1.8695391416549683,-4.7607421875
6.339,-2.310558557510376,-5.94482421875
6.362,-2.6748790740966797,-6.79931640625
6.384,-2.9145636558532715,-7.421875
6.407,-2.9289445877075195,-7.3974609375
6.429,-2.6604979038238525,-6.79931640625
6.451,-2.0804615020751953,-5.26123046875
6.477,-1.0594055652618408,-2.6611328125
6.496,0.07190535217523575,0.2197265625
6.518,0.6902913451194763,1.806640625
6.541,1.1888351440429688,3.076171875
6.564,1.7688716650009155,4.5166015625
6.587,2.281796455383301,5.859375
6.609,2.708434820175171,6.89697265625
6.632,3.0200247764587402,7.666015625
6.656,3.125485897064209,7.94677734375
6.679,3.000849962234497,7.666015625
6.701,2.6317358016967773,6.67724609375
6.725,1.975000262260437,5.04150390625
6.747,1.1265171766281128,2.84423828125
6.776,0.10546118021011353,0.20751953125
6.793,-0.5273059010505676,-1.35498046875
6.816,-1.092961311340332,-2.8564453125
6.838,-1.6634104251861572,-4.26025390625
6.862,-2.181128978729248,-5.50537109375
6.884,-2.607767343521118,-6.67724609375
6.906,-2.9241509437561035,-7.421875
6.929,-3.010437488555908,-7.666015625
6.953,-2.8091022968292236,-7.09228515625
6.976,-2.195510149002075,-5.55419921875
6.999,-1.1792477369308472,-2.978515625
7.025,-0.023968450725078583,-0.048828125
7.044,0.6471481919288635,1.6357421875
7.066,1.2463594675064087,3.1982421875
7.089,1.82160222530365,4.7119140625
7.112,2.3632891178131104,6.005859375
7.134,2.7803401947021484,7.0556640625
7.157,3.0679616928100586,7.7880859375
7.179,3.149454355239868,8.04443359375
7.202,3.0200247764587402,7.666015625
7.227,2.6365294456481934,6.689453125
7.248,1.9318571090698242,4.87060546875
7.275,1.006674885749817,2.47802734375
7.294,-0.07190535217523575,-0.18310546875
7.317,-0.6135923266410828,-1.5869140625
7.34,-1.1648666858673096,-3.01513671875
7.364,-1.7401095628738403,-4.443359375
7.386,-2.2530343532562256,-5.76171875
7.409,-2.6844663619995117,-6.8603515625
